publish_date,publish_time_utc,ref,format,rhyme_title,content_type,setting,palette,companion,status,review_state,approved_by,pipeline_cmd
2026-09-05,17:00,VID-20260905-3,long,"Tom, Tom, the Piper's Son",rhyme,an orchard of short apple trees in soft afternoon light,"russet, cream, slate blue",a woolly lamb with a crooked fringe,PENDING,NOT_STARTED,,python3 scripts/pipeline.py --ref VID-20260905-3 --rhyme tom_piper --format long
2026-09-05,21:00,SHT-20260905-4,short,Jack Be Nimble,rhyme,a lighthouse keeper's cottage above a calm bay,"periwinkle, peach, warm grey",a bright green frog in wellington boots,PENDING,NOT_STARTED,,python3 scripts/pipeline.py --ref SHT-20260905-4 --rhyme jack_nimble --format short
2026-09-06,09:00,VID-20260906-1,long,Hey Diddle Diddle,rhyme,"a market square with striped awnings, early morning","deep plum, sage, oatmeal",a plump robin with a red waistcoat,PENDING,NOT_STARTED,,python3 scripts/pipeline.py --ref VID-20260906-1 --rhyme hey_diddle --format long
2026-09-06,13:00,SHT-20260906-2,short,"Twinkle, Twinkle, Little Star",rhyme,a mossy woodland clearing with dappled sunlight,"denim blue, wheat, soft white",a spotted puppy with oversized paws,PENDING,NOT_STARTED,,python3 scripts/pipeline.py --ref SHT-20260906-2 --rhyme twinkle --format short
2026-09-06,17:00,VID-20260906-3,long,Ring a Ring o' Roses,rhyme,a sandy cove with gentle waves and rock pools,"pine green, copper, bone",a quiet grey mouse with a patchwork bag,PENDING,NOT_STARTED,,python3 scripts/pipeline.py --ref VID-20260906-3 --rhyme ring_roses --format long
2026-09-06,21:00,SHT-20260906-4,short,Little Bo-Peep,rhyme,a greenhouse full of seedlings and watering cans,"mauve, straw, dove grey",a friendly goose in a straw hat,PENDING,NOT_STARTED,,python3 scripts/pipeline.py --ref SHT-20260906-4 --rhyme bo_peep --format short
2026-09-07,09:00,VID-20260907-1,long,Diddle Diddle Dumpling,rhyme,a bakery window with warm light and round loaves,"seafoam, coral, linen",a small striped bumblebee with tired wings,PENDING,NOT_STARTED,,python3 scripts/pipeline.py --ref VID-20260907-1 --rhyme diddle_dumpling --format long
2026-09-07,13:00,SHT-20260907-2,short,Cock-a-Doodle-Doo,rhyme,a wildflower field with a low stone wall,"deep indigo, soft gold, cream",a soft grey seal pup with wide eyes,PENDING,NOT_STARTED,,python3 scripts/pipeline.py --ref SHT-20260907-2 --rhyme cock_doodle --format short
2026-09-07,17:00,VID-20260907-3,long,The Farmer in the Dell,rhyme,a train platform in a tiny country station,"sage green, warm terracotta, oat",a small brown wren with a bright eye,PENDING,NOT_STARTED,,python3 scripts/pipeline.py --ref VID-20260907-3 --rhyme farmer_dell --format long
2026-09-07,21:00,SHT-20260907-4,short,Hey Diddle Diddle,rhyme,a hillside sheep pasture under drifting clouds,"dusty blue, buttermilk, pale coral",a small round owl with speckled feathers,PENDING,NOT_STARTED,,python3 scripts/pipeline.py --ref SHT-20260907-4 --rhyme hey_diddle --format short
2026-09-08,09:00,VID-20260908-1,long,Frere Jacques (Are You Sleeping?),rhyme,a cobbled lane with window boxes and a blue door,"plum, mustard, soft grey",a patient grey donkey with long ears,PENDING,NOT_STARTED,,python3 scripts/pipeline.py --ref VID-20260908-1 --rhyme frere_jacques --format long
2026-09-08,13:00,SHT-20260908-2,short,Ding Dong Bell,rhyme,a frozen pond with soft snow on the reeds,"forest green, cream, honey",a curious hedgehog in a knitted scarf,PENDING,NOT_STARTED,,python3 scripts/pipeline.py --ref SHT-20260908-2 --rhyme ding_dong_bell --format short
2026-09-08,17:00,VID-20260908-3,long,"Star Light, Star Bright",rhyme,"a rope bridge over a shallow, sunny stream","lavender, mint, warm white","a slow, cheerful tortoise",PENDING,NOT_STARTED,,python3 scripts/pipeline.py --ref VID-20260908-3 --rhyme star_light --format long
2026-09-08,21:00,SHT-20260908-4,short,Wee Willie Winkie,rhyme,a hay loft with warm light through the slats,"soft teal, apricot, ivory",a fluffy duckling who hums along,PENDING,NOT_STARTED,,python3 scripts/pipeline.py --ref SHT-20260908-4 --rhyme wee_willie --format short
2026-09-09,09:00,VID-20260909-1,long,Cock-a-Doodle-Doo,rhyme,a quiet hilltop meadow under a wide evening sky,"clay pink, olive, sand",a gentle brown bear cub,PENDING,NOT_STARTED,,python3 scripts/pipeline.py --ref VID-20260909-1 --rhyme cock_doodle --format long
2026-09-09,13:00,SHT-20260909-2,short,"Tom, Tom, the Piper's Son",rhyme,a cosy wooden treehouse with round windows,"midnight blue, silver, pale rose",a shy grey rabbit with one folded ear,PENDING,NOT_STARTED,,python3 scripts/pipeline.py --ref SHT-20260909-2 --rhyme tom_piper --format short
2026-09-09,17:00,VID-20260909-3,long,Jack and Jill,rhyme,a small harbour where painted boats bob at their moorings,"moss green, butter yellow, chalk",a tidy badger with round spectacles,PENDING,NOT_STARTED,,python3 scripts/pipeline.py --ref VID-20260909-3 --rhyme jack_jill --format long
2026-09-09,21:00,SHT-20260909-4,short,Jack and Jill,rhyme,a sunlit kitchen garden with tall sunflowers,"russet, cream, slate blue",a sleepy orange cat with a bell,PENDING,NOT_STARTED,,python3 scripts/pipeline.py --ref SHT-20260909-4 --rhyme jack_jill --format short
2026-09-10,09:00,VID-20260910-1,long,"Twinkle, Twinkle, Little Star",rhyme,a snowy village square with warm lantern light,"periwinkle, peach, warm grey",a small red fox with a white-tipped tail,PENDING,NOT_STARTED,,python3 scripts/pipeline.py --ref VID-20260910-1 --rhyme twinkle --format long
2026-09-10,13:00,SHT-20260910-2,short,The Itsy Bitsy Spider,rhyme,a riverbank where willows dip into slow water,"deep plum, sage, oatmeal",a woolly lamb with a crooked fringe,PENDING,NOT_STARTED,,python3 scripts/pipeline.py --ref SHT-20260910-2 --rhyme itsy_bitsy --format short
2026-09-10,17:00,VID-20260910-3,long,The Muffin Man,rhyme,a friendly red barn at the edge of a green field,"denim blue, wheat, soft white",a bright green frog in wellington boots,PENDING,NOT_STARTED,,python3 scripts/pipeline.py --ref VID-20260910-3 --rhyme muffin_man --format long
2026-09-10,21:00,SHT-20260910-4,short,Skip to My Lou,rhyme,a bright attic room full of soft toys and books,"pine green, copper, bone",a plump robin with a red waistcoat,PENDING,NOT_STARTED,,python3 scripts/pipeline.py --ref SHT-20260910-4 --rhyme skip_to_lou --format short
2026-09-11,09:00,VID-20260911-1,long,Wee Willie Winkie,rhyme,a windmill on a low hill with long grass,"mauve, straw, dove grey",a spotted puppy with oversized paws,PENDING,NOT_STARTED,,python3 scripts/pipeline.py --ref VID-20260911-1 --rhyme wee_willie --format long
2026-09-11,13:00,SHT-20260911-2,short,The Grand Old Duke of York,rhyme,a duck pond ringed with smooth grey stones,"seafoam, coral, linen",a quiet grey mouse with a patchwork bag,PENDING,NOT_STARTED,,python3 scripts/pipeline.py --ref SHT-20260911-2 --rhyme duke_york --format short
2026-09-11,17:00,VID-20260911-3,long,Little Bo-Peep,rhyme,an orchard of short apple trees in soft afternoon light,"deep indigo, soft gold, cream",a friendly goose in a straw hat,PENDING,NOT_STARTED,,python3 scripts/pipeline.py --ref VID-20260911-3 --rhyme bo_peep --format long
2026-09-11,21:00,SHT-20260911-4,short,"Pat-a-Cake, Pat-a-Cake",rhyme,a lighthouse keeper's cottage above a calm bay,"sage green, warm terracotta, oat",a small striped bumblebee with tired wings,PENDING,NOT_STARTED,,python3 scripts/pipeline.py --ref SHT-20260911-4 --rhyme pat_a_cake --format short
2026-09-12,09:00,VID-20260912-1,long,Ding Dong Bell,rhyme,"a market square with striped awnings, early morning","dusty blue, buttermilk, pale coral",a soft grey seal pup with wide eyes,PENDING,NOT_STARTED,,python3 scripts/pipeline.py --ref VID-20260912-1 --rhyme ding_dong_bell --format long
2026-09-12,13:00,SHT-20260912-2,short,Little Miss Muffet,rhyme,a mossy woodland clearing with dappled sunlight,"plum, mustard, soft grey",a small brown wren with a bright eye,PENDING,NOT_STARTED,,python3 scripts/pipeline.py --ref SHT-20260912-2 --rhyme miss_muffet --format short
2026-09-12,17:00,VID-20260912-3,long,Bobby Shafto's Gone to Sea,rhyme,a sandy cove with gentle waves and rock pools,"forest green, cream, honey",a small round owl with speckled feathers,PENDING,NOT_STARTED,,python3 scripts/pipeline.py --ref VID-20260912-3 --rhyme bobby_shafto --format long
2026-09-12,21:00,SHT-20260912-4,short,This Little Piggy,rhyme,a greenhouse full of seedlings and watering cans,"lavender, mint, warm white",a patient grey donkey with long ears,PENDING,NOT_STARTED,,python3 scripts/pipeline.py --ref SHT-20260912-4 --rhyme this_piggy --format short
2026-09-13,09:00,VID-20260913-1,long,The Grand Old Duke of York,rhyme,a bakery window with warm light and round loaves,"soft teal, apricot, ivory",a curious hedgehog in a knitted scarf,PENDING,NOT_STARTED,,python3 scripts/pipeline.py --ref VID-20260913-1 --rhyme duke_york --format long
2026-09-13,13:00,SHT-20260913-2,short,Ring a Ring o' Roses,rhyme,a wildflower field with a low stone wall,"clay pink, olive, sand","a slow, cheerful tortoise",PENDING,NOT_STARTED,,python3 scripts/pipeline.py --ref SHT-20260913-2 --rhyme ring_roses --format short
2026-09-13,17:00,VID-20260913-3,long,Georgie Porgie,rhyme,a train platform in a tiny country station,"midnight blue, silver, pale rose",a fluffy duckling who hums along,PENDING,NOT_STARTED,,python3 scripts/pipeline.py --ref VID-20260913-3 --rhyme georgie_porgie --format long
2026-09-13,21:00,SHT-20260913-4,short,Simple Simon,rhyme,a hillside sheep pasture under drifting clouds,"moss green, butter yellow, chalk",a gentle brown bear cub,PENDING,NOT_STARTED,,python3 scripts/pipeline.py --ref SHT-20260913-4 --rhyme simple_simon --format short
2026-09-14,09:00,VID-20260914-1,long,There Was an Old Woman Who Lived in a Shoe,rhyme,a cobbled lane with window boxes and a blue door,"russet, cream, slate blue",a shy grey rabbit with one folded ear,PENDING,NOT_STARTED,,python3 scripts/pipeline.py --ref VID-20260914-1 --rhyme old_woman_shoe --format long
2026-09-14,13:00,SHT-20260914-2,short,"Mary, Mary, Quite Contrary",rhyme,a frozen pond with soft snow on the reeds,"periwinkle, peach, warm grey",a tidy badger with round spectacles,PENDING,NOT_STARTED,,python3 scripts/pipeline.py --ref SHT-20260914-2 --rhyme mary_contrary --format short
2026-09-14,17:00,VID-20260914-3,long,Yankee Doodle,rhyme,"a rope bridge over a shallow, sunny stream","deep plum, sage, oatmeal",a sleepy orange cat with a bell,PENDING,NOT_STARTED,,python3 scripts/pipeline.py --ref VID-20260914-3 --rhyme yankee_doodle --format long
2026-09-14,21:00,SHT-20260914-4,short,Old MacDonald Had a Farm,rhyme,a hay loft with warm light through the slats,"denim blue, wheat, soft white",a small red fox with a white-tipped tail,PENDING,NOT_STARTED,,python3 scripts/pipeline.py --ref SHT-20260914-4 --rhyme old_macdonald --format short
2026-09-15,09:00,VID-20260915-1,long,"Mary, Mary, Quite Contrary",rhyme,a quiet hilltop meadow under a wide evening sky,"pine green, copper, bone",a woolly lamb with a crooked fringe,PENDING,NOT_STARTED,,python3 scripts/pipeline.py --ref VID-20260915-1 --rhyme mary_contrary --format long
2026-09-15,13:00,SHT-20260915-2,short,Curly Locks,rhyme,a cosy wooden treehouse with round windows,"mauve, straw, dove grey",a bright green frog in wellington boots,PENDING,NOT_STARTED,,python3 scripts/pipeline.py --ref SHT-20260915-2 --rhyme curly_locks --format short
2026-09-15,17:00,VID-20260915-3,long,The Itsy Bitsy Spider,rhyme,a small harbour where painted boats bob at their moorings,"seafoam, coral, linen",a plump robin with a red waistcoat,PENDING,NOT_STARTED,,python3 scripts/pipeline.py --ref VID-20260915-3 --rhyme itsy_bitsy --format long
2026-09-15,21:00,SHT-20260915-4,short,Bobby Shafto's Gone to Sea,rhyme,a sunlit kitchen garden with tall sunflowers,"deep indigo, soft gold, cream",a spotted puppy with oversized paws,PENDING,NOT_STARTED,,python3 scripts/pipeline.py --ref SHT-20260915-4 --rhyme bobby_shafto --format short
2026-09-16,09:00,VID-20260916-1,long,"One, Two, Buckle My Shoe",counting,a snowy village square with warm lantern light,"sage green, warm terracotta, oat",a quiet grey mouse with a patchwork bag,PENDING,NOT_STARTED,,python3 scripts/pipeline.py --ref VID-20260916-1 --rhyme one_two_buckle --format long
2026-09-16,13:00,SHT-20260916-2,short,The Muffin Man,rhyme,a riverbank where willows dip into slow water,"dusty blue, buttermilk, pale coral",a friendly goose in a straw hat,PENDING,NOT_STARTED,,python3 scripts/pipeline.py --ref SHT-20260916-2 --rhyme muffin_man --format short
2026-09-16,17:00,VID-20260916-3,long,Old King Cole,rhyme,a friendly red barn at the edge of a green field,"plum, mustard, soft grey",a small striped bumblebee with tired wings,PENDING,NOT_STARTED,,python3 scripts/pipeline.py --ref VID-20260916-3 --rhyme old_king_cole --format long
2026-09-16,21:00,SHT-20260916-4,short,Hickory Dickory Dock,rhyme,a bright attic room full of soft toys and books,"forest green, cream, honey",a soft grey seal pup with wide eyes,PENDING,NOT_STARTED,,python3 scripts/pipeline.py --ref SHT-20260916-4 --rhyme hickory_dickory --format short
2026-09-17,09:00,VID-20260917-1,long,Simple Simon,rhyme,a windmill on a low hill with long grass,"lavender, mint, warm white",a small brown wren with a bright eye,PENDING,NOT_STARTED,,python3 scripts/pipeline.py --ref VID-20260917-1 --rhyme simple_simon --format long
2026-09-17,13:00,SHT-20260917-2,short,Lavender's Blue,rhyme,a duck pond ringed with smooth grey stones,"soft teal, apricot, ivory",a small round owl with speckled feathers,PENDING,NOT_STARTED,,python3 scripts/pipeline.py --ref SHT-20260917-2 --rhyme lavenders_blue --format short
2026-09-17,17:00,VID-20260917-3,long,"Baa, Baa, Black Sheep",rhyme,an orchard of short apple trees in soft afternoon light,"clay pink, olive, sand",a patient grey donkey with long ears,PENDING,NOT_STARTED,,python3 scripts/pipeline.py --ref VID-20260917-3 --rhyme baa_baa --format long
2026-09-17,21:00,SHT-20260917-4,short,"Baa, Baa, Black Sheep",rhyme,a lighthouse keeper's cottage above a calm bay,"midnight blue, silver, pale rose",a curious hedgehog in a knitted scarf,PENDING,NOT_STARTED,,python3 scripts/pipeline.py --ref SHT-20260917-4 --rhyme baa_baa --format short
2026-09-18,09:00,VID-20260918-1,long,Rock-a-Bye Baby,lullaby,"a market square with striped awnings, early morning","moss green, butter yellow, chalk","a slow, cheerful tortoise",PENDING,NOT_STARTED,,python3 scripts/pipeline.py --ref VID-20260918-1 --rhyme rock_a_bye --format long
2026-09-18,13:00,SHT-20260918-2,short,Humpty Dumpty,rhyme,a mossy woodland clearing with dappled sunlight,"russet, cream, slate blue",a fluffy duckling who hums along,PENDING,NOT_STARTED,,python3 scripts/pipeline.py --ref SHT-20260918-2 --rhyme humpty --format short
2026-09-18,17:00,VID-20260918-3,long,Jack Be Nimble,rhyme,a sandy cove with gentle waves and rock pools,"periwinkle, peach, warm grey",a gentle brown bear cub,PENDING,NOT_STARTED,,python3 scripts/pipeline.py --ref VID-20260918-3 --rhyme jack_nimble --format long
2026-09-18,21:00,SHT-20260918-4,short,Georgie Porgie,rhyme,a greenhouse full of seedlings and watering cans,"deep plum, sage, oatmeal",a shy grey rabbit with one folded ear,PENDING,NOT_STARTED,,python3 scripts/pipeline.py --ref SHT-20260918-4 --rhyme georgie_porgie --format short
2026-09-19,09:00,VID-20260919-1,long,Little Jack Horner,rhyme,a bakery window with warm light and round loaves,"denim blue, wheat, soft white",a tidy badger with round spectacles,PENDING,NOT_STARTED,,python3 scripts/pipeline.py --ref VID-20260919-1 --rhyme jack_horner --format long
2026-09-19,13:00,SHT-20260919-2,short,"Peter, Peter, Pumpkin Eater",rhyme,a wildflower field with a low stone wall,"pine green, copper, bone",a sleepy orange cat with a bell,PENDING,NOT_STARTED,,python3 scripts/pipeline.py --ref SHT-20260919-2 --rhyme peter_pumpkin --format short
2026-09-19,17:00,VID-20260919-3,long,Hickory Dickory Dock,rhyme,a train platform in a tiny country station,"mauve, straw, dove grey",a small red fox with a white-tipped tail,PENDING,NOT_STARTED,,python3 scripts/pipeline.py --ref VID-20260919-3 --rhyme hickory_dickory --format long
2026-09-19,21:00,SHT-20260919-4,short,There Was an Old Woman Who Lived in a Shoe,rhyme,a hillside sheep pasture under drifting clouds,"seafoam, coral, linen",a woolly lamb with a crooked fringe,PENDING,NOT_STARTED,,python3 scripts/pipeline.py --ref SHT-20260919-4 --rhyme old_woman_shoe --format short
2026-09-20,09:00,VID-20260920-1,long,Old MacDonald Had a Farm,rhyme,a cobbled lane with window boxes and a blue door,"deep indigo, soft gold, cream",a bright green frog in wellington boots,PENDING,NOT_STARTED,,python3 scripts/pipeline.py --ref VID-20260920-1 --rhyme old_macdonald --format long
2026-09-20,13:00,SHT-20260920-2,short,Polly Put the Kettle On,rhyme,a frozen pond with soft snow on the reeds,"sage green, warm terracotta, oat",a plump robin with a red waistcoat,PENDING,NOT_STARTED,,python3 scripts/pipeline.py --ref SHT-20260920-2 --rhyme polly_kettle --format short
2026-09-20,17:00,VID-20260920-3,long,Three Blind Mice,rhyme,"a rope bridge over a shallow, sunny stream","dusty blue, buttermilk, pale coral",a spotted puppy with oversized paws,PENDING,NOT_STARTED,,python3 scripts/pipeline.py --ref VID-20260920-3 --rhyme three_mice --format long
2026-09-20,21:00,SHT-20260920-4,short,Little Jack Horner,rhyme,a hay loft with warm light through the slats,"plum, mustard, soft grey",a quiet grey mouse with a patchwork bag,PENDING,NOT_STARTED,,python3 scripts/pipeline.py --ref SHT-20260920-4 --rhyme jack_horner --format short
2026-09-21,09:00,VID-20260921-1,long,Curly Locks,rhyme,a quiet hilltop meadow under a wide evening sky,"forest green, cream, honey",a friendly goose in a straw hat,PENDING,NOT_STARTED,,python3 scripts/pipeline.py --ref VID-20260921-1 --rhyme curly_locks --format long
2026-09-21,13:00,SHT-20260921-2,short,Hot Cross Buns,rhyme,a cosy wooden treehouse with round windows,"lavender, mint, warm white",a small striped bumblebee with tired wings,PENDING,NOT_STARTED,,python3 scripts/pipeline.py --ref SHT-20260921-2 --rhyme hot_cross_buns --format short
2026-09-21,17:00,VID-20260921-3,long,"Hush, Little Baby",lullaby,a small harbour where painted boats bob at their moorings,"soft teal, apricot, ivory",a soft grey seal pup with wide eyes,PENDING,NOT_STARTED,,python3 scripts/pipeline.py --ref VID-20260921-3 --rhyme hush_little_baby --format long
2026-09-21,21:00,SHT-20260921-4,short,Diddle Diddle Dumpling,rhyme,a sunlit kitchen garden with tall sunflowers,"clay pink, olive, sand",a small brown wren with a bright eye,PENDING,NOT_STARTED,,python3 scripts/pipeline.py --ref SHT-20260921-4 --rhyme diddle_dumpling --format short
2026-09-22,09:00,VID-20260922-1,long,Skip to My Lou,rhyme,a snowy village square with warm lantern light,"midnight blue, silver, pale rose",a small round owl with speckled feathers,PENDING,NOT_STARTED,,python3 scripts/pipeline.py --ref VID-20260922-1 --rhyme skip_to_lou --format long
2026-09-22,13:00,SHT-20260922-2,short,Three Blind Mice,rhyme,a riverbank where willows dip into slow water,"moss green, butter yellow, chalk",a patient grey donkey with long ears,PENDING,NOT_STARTED,,python3 scripts/pipeline.py --ref SHT-20260922-2 --rhyme three_mice --format short
2026-09-22,17:00,VID-20260922-3,long,Oranges and Lemons,rhyme,a friendly red barn at the edge of a green field,"russet, cream, slate blue",a curious hedgehog in a knitted scarf,PENDING,NOT_STARTED,,python3 scripts/pipeline.py --ref VID-20260922-3 --rhyme oranges_lemons --format long
2026-09-22,21:00,SHT-20260922-4,short,Pop Goes the Weasel,rhyme,a bright attic room full of soft toys and books,"periwinkle, peach, warm grey","a slow, cheerful tortoise",PENDING,NOT_STARTED,,python3 scripts/pipeline.py --ref SHT-20260922-4 --rhyme pop_weasel --format short
2026-09-23,09:00,VID-20260923-1,long,London Bridge Is Falling Down,rhyme,a windmill on a low hill with long grass,"deep plum, sage, oatmeal",a fluffy duckling who hums along,PENDING,NOT_STARTED,,python3 scripts/pipeline.py --ref VID-20260923-1 --rhyme london_bridge --format long
2026-09-23,13:00,SHT-20260923-2,short,"Row, Row, Row Your Boat",rhyme,a duck pond ringed with smooth grey stones,"denim blue, wheat, soft white",a gentle brown bear cub,PENDING,NOT_STARTED,,python3 scripts/pipeline.py --ref SHT-20260923-2 --rhyme row_row --format short
2026-09-23,17:00,VID-20260923-3,long,Hot Cross Buns,rhyme,an orchard of short apple trees in soft afternoon light,"pine green, copper, bone",a shy grey rabbit with one folded ear,PENDING,NOT_STARTED,,python3 scripts/pipeline.py --ref VID-20260923-3 --rhyme hot_cross_buns --format long
2026-09-23,21:00,SHT-20260923-4,short,The Farmer in the Dell,rhyme,a lighthouse keeper's cottage above a calm bay,"mauve, straw, dove grey",a tidy badger with round spectacles,PENDING,NOT_STARTED,,python3 scripts/pipeline.py --ref SHT-20260923-4 --rhyme farmer_dell --format short
2026-09-24,09:00,VID-20260924-1,long,Mary Had a Little Lamb,rhyme,"a market square with striped awnings, early morning","seafoam, coral, linen",a sleepy orange cat with a bell,PENDING,NOT_STARTED,,python3 scripts/pipeline.py --ref VID-20260924-1 --rhyme mary_lamb --format long
2026-09-24,13:00,SHT-20260924-2,short,Mary Had a Little Lamb,rhyme,a mossy woodland clearing with dappled sunlight,"deep indigo, soft gold, cream",a small red fox with a white-tipped tail,PENDING,NOT_STARTED,,python3 scripts/pipeline.py --ref SHT-20260924-2 --rhyme mary_lamb --format short
2026-09-24,17:00,VID-20260924-3,long,"Row, Row, Row Your Boat",rhyme,a sandy cove with gentle waves and rock pools,"sage green, warm terracotta, oat",a woolly lamb with a crooked fringe,PENDING,NOT_STARTED,,python3 scripts/pipeline.py --ref VID-20260924-3 --rhyme row_row --format long
2026-09-24,21:00,SHT-20260924-4,short,"One, Two, Buckle My Shoe",counting,a greenhouse full of seedlings and watering cans,"dusty blue, buttermilk, pale coral",a bright green frog in wellington boots,PENDING,NOT_STARTED,,python3 scripts/pipeline.py --ref SHT-20260924-4 --rhyme one_two_buckle --format short
2026-09-25,09:00,VID-20260925-1,long,"Rain, Rain, Go Away",rhyme,a bakery window with warm light and round loaves,"plum, mustard, soft grey",a plump robin with a red waistcoat,PENDING,NOT_STARTED,,python3 scripts/pipeline.py --ref VID-20260925-1 --rhyme rain_go_away --format long
2026-09-25,13:00,SHT-20260925-2,short,London Bridge Is Falling Down,rhyme,a wildflower field with a low stone wall,"forest green, cream, honey",a spotted puppy with oversized paws,PENDING,NOT_STARTED,,python3 scripts/pipeline.py --ref SHT-20260925-2 --rhyme london_bridge --format short
2026-09-25,17:00,VID-20260925-3,long,Lavender's Blue,rhyme,a train platform in a tiny country station,"lavender, mint, warm white",a quiet grey mouse with a patchwork bag,PENDING,NOT_STARTED,,python3 scripts/pipeline.py --ref VID-20260925-3 --rhyme lavenders_blue --format long
2026-09-25,21:00,SHT-20260925-4,short,Oranges and Lemons,rhyme,a hillside sheep pasture under drifting clouds,"soft teal, apricot, ivory",a friendly goose in a straw hat,PENDING,NOT_STARTED,,python3 scripts/pipeline.py --ref SHT-20260925-4 --rhyme oranges_lemons --format short
2026-09-26,09:00,VID-20260926-1,long,Humpty Dumpty,rhyme,a cobbled lane with window boxes and a blue door,"clay pink, olive, sand",a small striped bumblebee with tired wings,PENDING,NOT_STARTED,,python3 scripts/pipeline.py --ref VID-20260926-1 --rhyme humpty --format long
2026-09-26,13:00,SHT-20260926-2,short,"Star Light, Star Bright",rhyme,a frozen pond with soft snow on the reeds,"midnight blue, silver, pale rose",a soft grey seal pup with wide eyes,PENDING,NOT_STARTED,,python3 scripts/pipeline.py --ref SHT-20260926-2 --rhyme star_light --format short
2026-09-26,17:00,VID-20260926-3,long,Polly Put the Kettle On,rhyme,"a rope bridge over a shallow, sunny stream","moss green, butter yellow, chalk",a small brown wren with a bright eye,PENDING,NOT_STARTED,,python3 scripts/pipeline.py --ref VID-20260926-3 --rhyme polly_kettle --format long
2026-09-26,21:00,SHT-20260926-4,short,Frere Jacques (Are You Sleeping?),rhyme,a hay loft with warm light through the slats,"russet, cream, slate blue",a small round owl with speckled feathers,PENDING,NOT_STARTED,,python3 scripts/pipeline.py --ref SHT-20260926-4 --rhyme frere_jacques --format short
2026-09-27,09:00,VID-20260927-1,long,Pop Goes the Weasel,rhyme,a quiet hilltop meadow under a wide evening sky,"periwinkle, peach, warm grey",a patient grey donkey with long ears,PENDING,NOT_STARTED,,python3 scripts/pipeline.py --ref VID-20260927-1 --rhyme pop_weasel --format long
2026-09-27,13:00,SHT-20260927-2,short,Old King Cole,rhyme,a cosy wooden treehouse with round windows,"deep plum, sage, oatmeal",a curious hedgehog in a knitted scarf,PENDING,NOT_STARTED,,python3 scripts/pipeline.py --ref SHT-20260927-2 --rhyme old_king_cole --format short
2026-09-27,17:00,VID-20260927-3,long,"Peter, Peter, Pumpkin Eater",rhyme,a small harbour where painted boats bob at their moorings,"denim blue, wheat, soft white","a slow, cheerful tortoise",PENDING,NOT_STARTED,,python3 scripts/pipeline.py --ref VID-20260927-3 --rhyme peter_pumpkin --format long
