rhyme_id,title,composition_pd_basis,composition_verified_by,composition_verified_on,recording_type,recording_owner,work_for_hire_signed,arrangement_owner,ai_tool_used,ai_tool_terms_captured,clearance_status,evidence_url,notes
miss_muffet,Little Miss Muffet,"Traditional English nursery rhyme; printed in The Only True Mother Goose Melodies, Boston: Munroe & Francis, 1833. Published far before 1930; 95-year term expired.",A. Rivera,2026-09-03,original_recording,Channel (work for hire),yes,Channel (work for hire),none (music); Higgsfield AI for video,2026-09-03,CLEARED,evidence/miss_muffet-wfh-2026-09-03.pdf,"Spider must be friendly and small. No fright, no fleeing in fear."
hey_diddle,Hey Diddle Diddle,"Traditional English nursery rhyme; printed in Mother Goose's Melody, London: J. Newbery, c. 1780. Published far before 1930; 95-year term expired.",A. Rivera,2026-09-03,original_recording,Channel (work for hire),yes,Channel (work for hire),none (music); Higgsfield AI for video,2026-09-03,CLEARED,evidence/hey_diddle-wfh-2026-09-03.pdf,
bo_peep,Little Bo-Peep,"Traditional English nursery rhyme; printed in Gammer Gurton's Garland, London, 1784. Published far before 1930; 95-year term expired.",A. Rivera,2026-09-03,original_recording,Channel (work for hire),yes,Channel (work for hire),none (music); Higgsfield AI for video,2026-09-03,CLEARED,evidence/bo_peep-wfh-2026-09-03.pdf,
three_mice,Three Blind Mice,"Traditional English nursery rhyme; printed in Deuteromelia, London, 1609. Published far before 1930; 95-year term expired.",A. Rivera,2026-09-03,original_recording,Channel (work for hire),yes,Channel (work for hire),none (music); Higgsfield AI for video,2026-09-03,CLEARED,evidence/three_mice-wfh-2026-09-03.pdf,Use the gentle modern nursery version only. Omit the farmer's knife entirely - rewrite as a chase-and-friendship beat.
pat_a_cake,"Pat-a-Cake, Pat-a-Cake","Traditional English nursery rhyme; printed in Tommy Thumb's Pretty Song Book, London, c. 1744. Published far before 1930; 95-year term expired.",A. Rivera,2026-09-03,original_recording,Channel (work for hire),yes,Channel (work for hire),none (music); Higgsfield AI for video,2026-09-03,CLEARED,evidence/pat_a_cake-wfh-2026-09-03.pdf,
this_piggy,This Little Piggy,"Traditional English nursery rhyme; printed in Tommy Thumb's Pretty Song Book, London, c. 1744. Published far before 1930; 95-year term expired.",A. Rivera,2026-09-03,original_recording,Channel (work for hire),yes,Channel (work for hire),none (music); Higgsfield AI for video,2026-09-03,CLEARED,evidence/this_piggy-wfh-2026-09-03.pdf,
ring_roses,Ring a Ring o' Roses,"Traditional English nursery rhyme; printed in Kate Greenaway, Mother Goose or the Old Nursery Rhymes, London, 1881. Published far before 1930; 95-year term expired.",A. Rivera,2026-09-03,original_recording,Channel (work for hire),yes,Channel (work for hire),none (music); Higgsfield AI for video,2026-09-03,CLEARED,evidence/ring_roses-wfh-2026-09-03.pdf,
old_king_cole,Old King Cole,"Traditional English nursery rhyme; printed in William King, Useful Transactions in Philosophy, 1708-09. Published far before 1930; 95-year term expired.",A. Rivera,2026-09-03,original_recording,Channel (work for hire),yes,Channel (work for hire),none (music); Higgsfield AI for video,2026-09-03,CLEARED,evidence/old_king_cole-wfh-2026-09-03.pdf,
mary_contrary,"Mary, Mary, Quite Contrary","Traditional English nursery rhyme; printed in Tommy Thumb's Pretty Song Book, London, c. 1744. Published far before 1930; 95-year term expired.",A. Rivera,2026-09-03,original_recording,Channel (work for hire),yes,Channel (work for hire),none (music); Higgsfield AI for video,2026-09-03,CLEARED,evidence/mary_contrary-wfh-2026-09-03.pdf,
wee_willie,Wee Willie Winkie,"Traditional English nursery rhyme; printed in William Miller, Whistle-binkie: Stories for the Fireside, Glasgow, 1841. Published far before 1930; 95-year term expired.",A. Rivera,2026-09-03,original_recording,Channel (work for hire),yes,Channel (work for hire),none (music); Higgsfield AI for video,2026-09-03,CLEARED,evidence/wee_willie-wfh-2026-09-03.pdf,
polly_kettle,Polly Put the Kettle On,"Traditional English nursery rhyme; printed in Charles Dibdin, The Wags, 1790s; printed in 19th-c. collections. Published far before 1930; 95-year term expired.",A. Rivera,2026-09-03,original_recording,Channel (work for hire),yes,Channel (work for hire),none (music); Higgsfield AI for video,2026-09-03,CLEARED,evidence/polly_kettle-wfh-2026-09-03.pdf,
duke_york,The Grand Old Duke of York,"Traditional English nursery rhyme; printed in Gammer Gurton's Garland, London, 1784. Published far before 1930; 95-year term expired.",A. Rivera,2026-09-03,original_recording,Channel (work for hire),yes,Channel (work for hire),none (music); Higgsfield AI for video,2026-09-03,CLEARED,evidence/duke_york-wfh-2026-09-03.pdf,
muffin_man,The Muffin Man,"Traditional English nursery rhyme; printed in Manuscript collections, London, c. 1820; printed 19th c. Published far before 1930; 95-year term expired.",A. Rivera,2026-09-03,original_recording,Channel (work for hire),yes,Channel (work for hire),none (music); Higgsfield AI for video,2026-09-03,CLEARED,evidence/muffin_man-wfh-2026-09-03.pdf,
oranges_lemons,Oranges and Lemons,"Traditional English nursery rhyme; printed in Tommy Thumb's Pretty Song Book, London, c. 1744. Published far before 1930; 95-year term expired.",A. Rivera,2026-09-03,original_recording,Channel (work for hire),yes,Channel (work for hire),none (music); Higgsfield AI for video,2026-09-03,CLEARED,evidence/oranges_lemons-wfh-2026-09-03.pdf,Stop before the 'chopper' ending. Close on the bells.
bobby_shafto,Bobby Shafto's Gone to Sea,"Traditional English nursery rhyme; printed in Gammer Gurton's Garland, London, 1784. Published far before 1930; 95-year term expired.",A. Rivera,2026-09-03,original_recording,Channel (work for hire),yes,Channel (work for hire),none (music); Higgsfield AI for video,2026-09-03,CLEARED,evidence/bobby_shafto-wfh-2026-09-03.pdf,
lavenders_blue,Lavender's Blue,"Traditional English nursery rhyme; printed in Broadside ballad, London, c. 1675; printed in later collections. Published far before 1930; 95-year term expired.",A. Rivera,2026-09-03,original_recording,Channel (work for hire),yes,Channel (work for hire),none (music); Higgsfield AI for video,2026-09-03,CLEARED,evidence/lavenders_blue-wfh-2026-09-03.pdf,
jack_nimble,Jack Be Nimble,"Traditional English nursery rhyme; printed in The Only True Mother Goose Melodies, Boston: Munroe & Francis, 1833. Published far before 1930; 95-year term expired.",A. Rivera,2026-09-03,original_recording,Channel (work for hire),yes,Channel (work for hire),none (music); Higgsfield AI for video,2026-09-03,CLEARED,evidence/jack_nimble-wfh-2026-09-03.pdf,
jack_horner,Little Jack Horner,"Traditional English nursery rhyme; printed in Namby Pamby, London, 1725. Published far before 1930; 95-year term expired.",A. Rivera,2026-09-03,original_recording,Channel (work for hire),yes,Channel (work for hire),none (music); Higgsfield AI for video,2026-09-03,CLEARED,evidence/jack_horner-wfh-2026-09-03.pdf,
cock_doodle,Cock-a-Doodle-Doo,"Traditional English nursery rhyme; printed in Tommy Thumb's Pretty Song Book, London, c. 1744. Published far before 1930; 95-year term expired.",A. Rivera,2026-09-03,original_recording,Channel (work for hire),yes,Channel (work for hire),none (music); Higgsfield AI for video,2026-09-03,CLEARED,evidence/cock_doodle-wfh-2026-09-03.pdf,
old_woman_shoe,There Was an Old Woman Who Lived in a Shoe,"Traditional English nursery rhyme; printed in Gammer Gurton's Garland, London, 1784. Published far before 1930; 95-year term expired.",A. Rivera,2026-09-03,original_recording,Channel (work for hire),yes,Channel (work for hire),none (music); Higgsfield AI for video,2026-09-03,CLEARED,evidence/old_woman_shoe-wfh-2026-09-03.pdf,Use the gentle variant. Omit the whipping line entirely - replace with tucking them in.
simple_simon,Simple Simon,"Traditional English nursery rhyme; printed in Chapbook, London, c. 1764. Published far before 1930; 95-year term expired.",A. Rivera,2026-09-03,original_recording,Channel (work for hire),yes,Channel (work for hire),none (music); Higgsfield AI for video,2026-09-03,CLEARED,evidence/simple_simon-wfh-2026-09-03.pdf,
diddle_dumpling,Diddle Diddle Dumpling,"Traditional English nursery rhyme; printed in Gammer Gurton's Garland, London, 1784. Published far before 1930; 95-year term expired.",A. Rivera,2026-09-03,original_recording,Channel (work for hire),yes,Channel (work for hire),none (music); Higgsfield AI for video,2026-09-03,CLEARED,evidence/diddle_dumpling-wfh-2026-09-03.pdf,
curly_locks,Curly Locks,"Traditional English nursery rhyme; printed in Gammer Gurton's Garland, London, 1784. Published far before 1930; 95-year term expired.",A. Rivera,2026-09-03,original_recording,Channel (work for hire),yes,Channel (work for hire),none (music); Higgsfield AI for video,2026-09-03,CLEARED,evidence/curly_locks-wfh-2026-09-03.pdf,
peter_pumpkin,"Peter, Peter, Pumpkin Eater","Traditional English nursery rhyme; printed in Infant Institutes, London, 1797. Published far before 1930; 95-year term expired.",A. Rivera,2026-09-03,original_recording,Channel (work for hire),yes,Channel (work for hire),none (music); Higgsfield AI for video,2026-09-03,CLEARED,evidence/peter_pumpkin-wfh-2026-09-03.pdf,Rewrite the 'kept her' line as building a pumpkin house together.
hot_cross_buns,Hot Cross Buns,"Traditional English nursery rhyme; printed in Poor Robin's Almanac, London, 1733. Published far before 1930; 95-year term expired.",A. Rivera,2026-09-03,original_recording,Channel (work for hire),yes,Channel (work for hire),none (music); Higgsfield AI for video,2026-09-03,CLEARED,evidence/hot_cross_buns-wfh-2026-09-03.pdf,
one_two_buckle,"One, Two, Buckle My Shoe","Traditional English nursery rhyme; printed in Songs for the Nursery, London, 1805. Published far before 1930; 95-year term expired.",A. Rivera,2026-09-03,original_recording,Channel (work for hire),yes,Channel (work for hire),none (music); Higgsfield AI for video,2026-09-03,CLEARED,evidence/one_two_buckle-wfh-2026-09-03.pdf,
farmer_dell,The Farmer in the Dell,"Traditional English nursery rhyme; printed in German original c. 1820; American printing, 1883. Published far before 1930; 95-year term expired.",A. Rivera,2026-09-03,original_recording,Channel (work for hire),yes,Channel (work for hire),none (music); Higgsfield AI for video,2026-09-03,CLEARED,evidence/farmer_dell-wfh-2026-09-03.pdf,
skip_to_lou,Skip to My Lou,Traditional English nursery rhyme; printed in American play-party song; printed 19th c. Published far before 1930; 95-year term expired.,A. Rivera,2026-09-03,original_recording,Channel (work for hire),yes,Channel (work for hire),none (music); Higgsfield AI for video,2026-09-03,CLEARED,evidence/skip_to_lou-wfh-2026-09-03.pdf,
yankee_doodle,Yankee Doodle,"Traditional English nursery rhyme; printed in Printed in sheet music, c. 1780s. Published far before 1930; 95-year term expired.",A. Rivera,2026-09-03,original_recording,Channel (work for hire),yes,Channel (work for hire),none (music); Higgsfield AI for video,2026-09-03,CLEARED,evidence/yankee_doodle-wfh-2026-09-03.pdf,
pop_weasel,Pop Goes the Weasel,"Traditional English nursery rhyme; printed in Sheet music, London, 1853. Published far before 1930; 95-year term expired.",A. Rivera,2026-09-03,original_recording,Channel (work for hire),yes,Channel (work for hire),none (music); Higgsfield AI for video,2026-09-03,CLEARED,evidence/pop_weasel-wfh-2026-09-03.pdf,
frere_jacques,Frere Jacques (Are You Sleeping?),"Traditional English nursery rhyme; printed in Printed in French collections, early 19th c. Published far before 1930; 95-year term expired.",A. Rivera,2026-09-03,original_recording,Channel (work for hire),yes,Channel (work for hire),none (music); Higgsfield AI for video,2026-09-03,CLEARED,evidence/frere_jacques-wfh-2026-09-03.pdf,
rain_go_away,"Rain, Rain, Go Away","Traditional English nursery rhyme; printed in John Aubrey, 1687; printed in later collections. Published far before 1930; 95-year term expired.",A. Rivera,2026-09-03,original_recording,Channel (work for hire),yes,Channel (work for hire),none (music); Higgsfield AI for video,2026-09-03,CLEARED,evidence/rain_go_away-wfh-2026-09-03.pdf,
star_light,"Star Light, Star Bright",Traditional English nursery rhyme; printed in American traditional; printed late 19th c. Published far before 1930; 95-year term expired.,A. Rivera,2026-09-03,original_recording,Channel (work for hire),yes,Channel (work for hire),none (music); Higgsfield AI for video,2026-09-03,CLEARED,evidence/star_light-wfh-2026-09-03.pdf,
hush_little_baby,"Hush, Little Baby",Traditional English nursery rhyme; printed in American traditional lullaby; printed 19th c. Published far before 1930; 95-year term expired.,A. Rivera,2026-09-03,original_recording,Channel (work for hire),yes,Channel (work for hire),none (music); Higgsfield AI for video,2026-09-03,CLEARED,evidence/hush_little_baby-wfh-2026-09-03.pdf,
rock_a_bye,Rock-a-Bye Baby,"Traditional English nursery rhyme; printed in Mother Goose's Melody, London: J. Newbery, c. 1780. Published far before 1930; 95-year term expired.",A. Rivera,2026-09-03,original_recording,Channel (work for hire),yes,Channel (work for hire),none (music); Higgsfield AI for video,2026-09-03,CLEARED,evidence/rock_a_bye-wfh-2026-09-03.pdf,"Use the reassuring variant. No falling - end with safe, held, and sleeping."
ding_dong_bell,Ding Dong Bell,"Traditional English nursery rhyme; printed in Tommy Thumb's Pretty Song Book, London, c. 1744. Published far before 1930; 95-year term expired.",A. Rivera,2026-09-03,original_recording,Channel (work for hire),yes,Channel (work for hire),none (music); Higgsfield AI for video,2026-09-03,CLEARED,evidence/ding_dong_bell-wfh-2026-09-03.pdf,Use ONLY the rescue variant - the cat is lifted out safely. Never the well version.
tom_piper,"Tom, Tom, the Piper's Son","Traditional English nursery rhyme; printed in Chapbook, London, c. 1795. Published far before 1930; 95-year term expired.",A. Rivera,2026-09-03,original_recording,Channel (work for hire),yes,Channel (work for hire),none (music); Higgsfield AI for video,2026-09-03,CLEARED,evidence/tom_piper-wfh-2026-09-03.pdf,Drop the stolen-pig line. Rewrite as Tom playing his pipe through the town.
georgie_porgie,Georgie Porgie,"Traditional English nursery rhyme; printed in The Kentish Coronal, 1841. Published far before 1930; 95-year term expired.",A. Rivera,2026-09-03,original_recording,Channel (work for hire),yes,Channel (work for hire),none (music); Higgsfield AI for video,2026-09-03,CLEARED,evidence/georgie_porgie-wfh-2026-09-03.pdf,"Rewrite so Georgie apologises and plays kindly. No kissing, no making anyone cry."
this_old_man,This Old Man,"NEEDS VERIFICATION. Widely traditional, but the earliest citable printing is unclear and one common attribution is 20th century.",,,none,,no,,none (music); Higgsfield AI for video,,FLAGGED,,FLAGGED. Confirm a pre-1930 printing before use.
wheels_bus,The Wheels on the Bus,"UNVERIFIED. Commonly attributed to Verna Hills, 1939 - which would still be in copyright.",,,none,,no,,none (music); Higgsfield AI for video,,FLAGGED,,"DO NOT USE. Worked example: feels traditional, widely treated as free, attribution is 1939."
little_teapot,I'm a Little Teapot,"UNVERIFIED - almost certainly still in copyright. Written by George Harold Sanders and Clarence Kelley, 1939.",,,none,,no,,none (music); Higgsfield AI for video,,FLAGGED,,DO NOT USE. A second worked example of a 20th-century song that feels like folklore.
happy_know_it,If You're Happy and You Know It,"UNVERIFIED. Origin disputed, popularised mid-20th century. No citable pre-1930 printing found.",,,none,,no,,none (music); Higgsfield AI for video,,FLAGGED,,FLAGGED. Needs counsel or a verified pre-1930 source before use.
